Case,Conversion Type,Sagittal Dice Score,Coronal Dice Score,Mean Absolute Error
11-36268-2012-02-01,dicom2nifti,0.7948716929651676,0.199999960000008,9.991241503218163e-10
11-36268-2012-02-01,dcm2niix,0.7948716929651676,0.199999960000008,9.991241503218163e-10
11-36268-2012-02-01,dcmstack,0.7948716929651676,0.199999960000008,7.536193612281137e-10
11-36268-2012-02-01,sitk,0.7948716929651676,0.199999960000008,0.0
11-36268-2012-02-01,lifex,0.7948716929651676,0.199999960000008,0.08133064366965408
11-36268-2012-02-01,slicer,0.7948716929651676,0.199999960000008,422.70588920302964
