Case,Conversion Type,Sagittal Dice Score,Coronal Dice Score,Mean Absolute Error
14-18544,dicom2nifti,0.7771428127346964,0.7083333038194457,3.3816463379996908e-09
14-18544,dcm2niix,0.7771428127346964,0.7083333038194457,3.3816463379996908e-09
14-18544,dcmstack,0.7771428127346964,0.7083333038194457,2.4403118613442924e-09
14-18544,sitk,0.7771428127346964,0.7083333038194457,0.0
14-18544,lifex,0.7771428127346964,0.7083333038194457,0.04773853687875882
14-18544,slicer,0.7771428127346964,0.7083333038194457,423.50047014837384
