Case,Conversion Type,Sagittal Dice Score,Coronal Dice Score,Mean Absolute Error
16-12988-2016-03-21,dicom2nifti,0.3437499731445333,0.45161286680541396,1.5824230282739622e-09
16-12988-2016-03-21,dcm2niix,0.3437499731445333,0.45161286680541396,1.5824230282739622e-09
16-12988-2016-03-21,dcmstack,0.3437499731445333,0.45161286680541396,8.544215973403879e-10
16-12988-2016-03-21,sitk,0.3437499731445333,0.45161286680541396,0.0
16-12988-2016-03-21,lifex,0.3437499731445333,0.45161286680541396,0.08170462850284482
16-12988-2016-03-21,slicer,0.3437499731445333,0.45161286680541396,352.1717475790527
