Case,Conversion Type,Sagittal Dice Score,Coronal Dice Score,Mean Absolute Error
16-20075-2016-05-30,dicom2nifti,0.8958496405963223,0.8826290996936235,1.1442395678841226e-09
16-20075-2016-05-30,dcm2niix,0.8958496405963223,0.8826290996936235,1.1442395678841226e-09
16-20075-2016-05-30,dcmstack,0.8958496405963223,0.8826290996936235,1.0044558529298745e-09
16-20075-2016-05-30,sitk,0.8958496405963223,0.8826290996936235,0.0
16-20075-2016-05-30,lifex,0.8958496405963223,0.8826290996936235,0.09980692023828829
16-20075-2016-05-30,slicer,0.8958496405963223,0.8826290996936235,322.7429499272117
