Case,Conversion Type,Sagittal Dice Score,Coronal Dice Score,Mean Absolute Error
PETCT_642d6c78d6-05-02-2005,dicom2nifti,0.23196880978572704,0.7740563488885893,1.3172588566943403e-15
PETCT_642d6c78d6-05-02-2005,dcm2niix,0.23196880978572704,0.7740563488885893,1.3172588566943403e-15
PETCT_642d6c78d6-05-02-2005,dcmstack,0.23196880978572704,0.7740563488885893,4.93297490374307e-16
PETCT_642d6c78d6-05-02-2005,sitk,0.23196880978572704,0.7740563488885893,0.0
PETCT_642d6c78d6-05-02-2005,lifex,0.23091976403659606,0.7636749826676846,0.05995433632926147
PETCT_642d6c78d6-05-02-2005,slicer,0.23091976403659606,0.7636749826676846,163.30915579809692
