Case,Conversion Type,Sagittal Dice Score,Coronal Dice Score,Mean Absolute Error
12-28988-2012-08-24,dicom2nifti,0.8241758015336319,0.20809247352066626,2.537271795964087e-09
12-28988-2012-08-24,dcm2niix,0.8241758015336319,0.20809247352066626,2.537271795964087e-09
12-28988-2012-08-24,dcmstack,0.8241758015336319,0.20809247352066626,2.065721750922426e-09
12-28988-2012-08-24,sitk,0.8241758015336319,0.20809247352066626,0.0
12-28988-2012-08-24,lifex,0.8241758015336319,0.20809247352066626,0.05944824858700002
12-28988-2012-08-24,slicer,0.8241758015336319,0.20809247352066626,378.9259984185302
